Criterion ID,Parent ID,Category
3,0,/Arts & Entertainment
184,3,/Arts & Entertainment/Celebrities & Entertainment News
316,3,/Arts & Entertainment/Comics & Animation
317,316,/Arts & Entertainment/Comics & Animation/Anime & Manga
319,316,/Arts & Entertainment/Comics & Animation/Cartoons
318,316,/Arts & Entertainment/Comics & Animation/Comics
612,3,/Arts & Entertainment/Entertainment Industry
1116,612,/Arts & Entertainment/Entertainment Industry/Film & TV Industry
1108,1116,/Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Awards
1117,1116,/Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Production
1115,612,/Arts & Entertainment/Entertainment Industry/Recording Industry
1113,1115,/Arts & Entertainment/Entertainment Industry/Recording Industry/Music Awards
1114,1115,/Arts & Entertainment/Entertainment Industry/Recording Industry/Record Labels
569,3,/Arts & Entertainment/Events & Listings
188,569,"/Arts & Entertainment/Events & Listings/Bars, Clubs & Nightlife"
891,569,/Arts & Entertainment/Events & Listings/Concerts & Music Festivals
614,569,/Arts & Entertainment/Events & Listings/Event Ticket Sales
1531,569,/Arts & Entertainment/Events & Listings/Expos & Conventions
1086,569,/Arts & Entertainment/Events & Listings/Film Festivals
1530,569,/Arts & Entertainment/Events & Listings/Food & Beverage Events
1273,569,/Arts & Entertainment/Events & Listings/Live Sporting Events
1085,569,/Arts & Entertainment/Events & Listings/Movie Listings & Theater Showtimes
539,3,/Arts & Entertainment/Fun & Trivia
447,539,/Arts & Entertainment/Fun & Trivia/Flash-Based Entertainment
1174,539,/Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys
182,3,/Arts & Entertainment/Humor
1779,182,/Arts & Entertainment/Humor/Funny Pictures & Videos
895,182,/Arts & Entertainment/Humor/Live Comedy
1180,182,/Arts & Entertainment/Humor/Political Humor
1244,182,/Arts & Entertainment/Humor/Spoofs & Satire
34,3,/Arts & Entertainment/Movies
1097,34,/Arts & Entertainment/Movies/Action & Adventure Films
1101,1097,/Arts & Entertainment/Movies/Action & Adventure Films/Martial Arts Films
1100,1097,/Arts & Entertainment/Movies/Action & Adventure Films/Superhero Films
1099,1097,/Arts & Entertainment/Movies/Action & Adventure Films/Western Films
1104,34,/Arts & Entertainment/Movies/Animated Films
360,34,/Arts & Entertainment/Movies/Bollywood & South Asian Film
1102,34,/Arts & Entertainment/Movies/Classic Films
1098,1102,/Arts & Entertainment/Movies/Classic Films/Silent Films
1095,34,/Arts & Entertainment/Movies/Comedy Films
1103,34,/Arts & Entertainment/Movies/Cult & Indie Films
210,34,/Arts & Entertainment/Movies/DVD & Video Shopping
1145,210,/Arts & Entertainment/Movies/DVD & Video Shopping/DVD & Video Rentals
1072,34,/Arts & Entertainment/Movies/Documentary Films
1094,34,/Arts & Entertainment/Movies/Drama Films
1291,34,/Arts & Entertainment/Movies/Family Films
615,34,/Arts & Entertainment/Movies/Horror Films
213,34,/Arts & Entertainment/Movies/Movie Memorabilia
1106,34,/Arts & Entertainment/Movies/Movie Reference
1107,1106,/Arts & Entertainment/Movies/Movie Reference/Movie Reviews & Previews
1105,34,/Arts & Entertainment/Movies/Musical Films
1310,34,/Arts & Entertainment/Movies/Romance Films
616,34,/Arts & Entertainment/Movies/Science Fiction & Fantasy Films
1096,34,"/Arts & Entertainment/Movies/Thriller, Crime & Mystery Films"
35,3,/Arts & Entertainment/Music & Audio
217,35,/Arts & Entertainment/Music & Audio/CD & Audio Shopping
586,35,/Arts & Entertainment/Music & Audio/Classical Music
587,35,/Arts & Entertainment/Music & Audio/Country Music
588,35,/Arts & Entertainment/Music & Audio/Dance & Electronic Music
1022,35,/Arts & Entertainment/Music & Audio/Experimental & Industrial Music
1023,35,/Arts & Entertainment/Music & Audio/Folk & Traditional Music
589,35,/Arts & Entertainment/Music & Audio/Jazz & Blues
1040,589,/Arts & Entertainment/Music & Audio/Jazz & Blues/Blues
42,589,/Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz
218,35,/Arts & Entertainment/Music & Audio/Music Art & Memorabilia
1087,35,/Arts & Entertainment/Music & Audio/Music Education & Instruction
1024,35,/Arts & Entertainment/Music & Audio/Music Equipment & Technology
1025,1024,/Arts & Entertainment/Music & Audio/Music Equipment & Technology/DJ Resources & Equipment
1026,1024,/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Music Recording Technology
216,1024,/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments
1327,216,/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments/Drums & Percussion
1325,216,/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments/Guitars
1326,216,/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments/Pianos & Keyboards
1091,1024,/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Samples & Sound Libraries
1027,35,/Arts & Entertainment/Music & Audio/Music Reference
1028,1027,/Arts & Entertainment/Music & Audio/Music Reference/Music Composition & Theory
892,1027,/Arts & Entertainment/Music & Audio/Music Reference/Sheet Music
617,1027,/Arts & Entertainment/Music & Audio/Music Reference/Song Lyrics & Tabs
220,35,/Arts & Entertainment/Music & Audio/Music Streams & Downloads
1408,35,/Arts & Entertainment/Music & Audio/Music Videos
809,35,/Arts & Entertainment/Music & Audio/Podcasts
